cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
258,Cinema258,,Midland Picture House,Midland Cinema,Cinema,24-Dec-23,1923,,Derry,Derry,"Bond's Hill, Waterside","Derry, Derry",,,,,,,700,,Proprieter: Manager: Musical Director: ,"Cinema Treasures; DJ 28/12/1923 (opening), 02/01/1924 (700)",,54.993083,-7.311815,0
259,Cinema259,,Savoy,,Cinema,01-Nov-33,1933,,Down,Newry,25 Merchants Quay,"Newry, Down",,,,,,,,,Proprieter: Manager: Musical Director: ,,,54.176758,-6.339798,0
260,Cinema260,,Strand Cinema,,Cinema,,1899,,Waterford,Tramore,,"Tramore, Waterford",,,,,,,,,Proprieter: Manager: Musical Director: ,ME 10/06/1922 (ad),,,,0
261,Cinema261,,West End Cinema,Ashfield Hall,Cinema,,1899,25/10/1927,Derry,Derry,Tyrconnell Street,"Derry, Derry",,,,,,,,,Proprieter: Manager: Musical Director: ,DJ 13/07/1927,,,,0
262,Cinema262,,City Cinema,,Cinema,26-Sep-32,1932,,Derry,Derry,14-16 William Street,"Derry, Derry",,,,,,,,,Proprieter: Manager: Musical Director: ,"DJ 26/09/1932 (opening, architects, builders, etc), Derry of the Past FB (location)",,54.997655956278905,-7.322317900014254,0
263,Cinema263,,Commodore Cinema,,Cinema,01-Mar-34,1934,,Tyrone,Strabane,69a Main Street,"Strabane, Tyrone",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
264,Cinema264,,"Picture Palace, Portrush",,Multipurpose venue,18-Jul-12,1912,,Derry,Portrush,Kerr Street,"Portrush, Derry",Irish Living Picture Co (Payny Seddon),R.L. Sheridan,,,,,,,Proprieter: Irish Living Picture Co (Payny Seddon)Manager: R.L. SheridanMusical Director: ,"BFP 25/07/1912 (opening), 31/07/1913 (Sheridan)",Opening date based on first encounter in BFP 25/07/1912; likely seasonal,55.20471542497281,-6.6531000440651535,0
265,Cinema265,,Kilmallock Picture House,,Cinema,,1899,,Limerick,Kilmallock,,"Kilmallock, Limerick",,,,,,,,,Proprieter: Manager: Musical Director: ,CE/EE 01/12/1922 (shot fired),,,,0
266,Cinema266,,Ormond Picture Palace,,Cinema,07-Jan-23,1923,,Tipperary,Nenagh,Summerhill,"Nenagh, Tipperary",W.F. Maloney,Edward Cahill,Jack Ryan,,"Ms. A. Collins (piano), Mr Murtagh (violin)",,400,,Proprieter: W.F. MaloneyManager: Edward CahillMusical Director: ,"NN 06/01/1923 (seats, Maloney, Collins, Murtagh)",,52.86539537593175,-8.196554106656047,0
267,Cinema267,,Ormond Cinema Company,Town Hall,Multipurpose venue,29-Sep-15,1915,,Tipperary,Nenagh,Banba Square,"Nenagh, Tipperary",Ormond Cinema Co,,,,,,,,Proprieter: Ormond Cinema CoManager: Musical Director: ,NG 02/10/1915 (opening),"Opened with three nights, reduced to two by the end of 1915",52.86495922701844,-8.199480827219427,0
268,Cinema268,,Rock Hall Cinema,,Multipurpose venue,24-Dec-22,1922,,Donegal,Ballyshannon,,"Ballyshannon, Donegal",,,,,,,,,Proprieter: Manager: Musical Director: ,DoD,,54.49955375401289,-8.192923981407635,0
269,Cinema269,,"Theatre Royal, Wexford",,Multipurpose venue,,1899,,Wexford,Wexford,High Street,"Wexford, Wexford",,,,,,,,,Proprieter: Manager: Musical Director: ,,"Cinema companies operate from here frequently, some for years",52.337986132539946,-6.462231764080191,0
270,Cinema270,,Grand Central Cinema,,Cinema,10-Sep-24,1924,,Offaly,Tullamore,Market Square,"Tullamore, Offaly",Irish National Foresters,,,,,Thomas McNamara,,,Proprieter: Irish National ForestersManager: Musical Director: ,"Cinema Treasures (opening date, architect)",,53.27530672888317,-7.490587595510168,0
272,Cinema272,,Pavilion Cinema,,Cinema,25-Dec-20,1920,,Sligo,Sligo,Thomas Street,"Sligo, Sligo",Kilgannons & Sons,,James Scanlon,,,,,,Proprieter: Kilgannons & SonsManager: Musical Director: ,"SC 27/11/1920 (Kilgannons), 25/12/1920 (opening), 13/05/1922 (fire, Scanlon)",,54.271172,-8.471791,0
273,Cinema273,,Star Kinema,,Cinema,01-Oct-23,1923,,Tyrone,Omagh,Sedan Avenue,"Omagh, Tyrone",Joseph Donnelly,,,,,,,,Proprieter: Joseph DonnellyManager: Musical Director: ,"UH 14/01/1923 (name, address, Donnelly), 29/10/1923 (opening ad)",,54.602351,-7.303762,0
274,Cinema274,,Main Street Picture House and Café,,Multipurpose venue,10-Jul-14,1914,,Derry,Portrush,Main Street,"Portrush, Derry",,,,,,,,,Proprieter: Manager: Musical Director: ,Discover Pirtrush,Check BFP,55.204717,-6.652104,0
275,Cinema275,,New Cinema,,,24-Jul-13,1913,,Tyrone,Dungannon,,"Dungannon, Tyrone",,,Mr Browing,,,,,Kamm,Proprieter: Manager: Musical Director: ,"KLW 24/07/1913 (open, name, Browing, Kamm)",Opening date based on mention in KLW,,,0
276,Cinema276,,City YMCA,,Multipurpose venue,,1899,,Antrim,Belfast,Wellington Place,"Belfast, Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,,,54.596914,-5.932837,0
277,Cinema277,,Garage Cinema,,,29-Jun-22,1922,,Kilkenny,Castlecomer,,"Castlecomer, Kilkenny",,,,,,,,,Proprieter: Manager: Musical Director: ,"KP 24/06/1922 (opening ad), 01/07/1922 (","At opening, operated three nights (Fri, Sat, Sun). Location unknown.",52.803911,-7.210443,0
278,Cinema278,,,,,,1899,,Kildare,Athy,,"Athy, Kildare",,,,,,,,,Proprieter: Manager: Musical Director: ,Bio,,,,0
279,Cinema279,,Abbey Kinema,,Cinema,29-Nov-22,1922,11/04/1930,Limerick,Limerick,George's Quay,"Limerick, Limerick",James J. Trehy,,,,,,,,Proprieter: James J. TrehyManager: Musical Director: ,"LL 29/11/1920 (early ad),",Opening date based on initial newspaper refs,52.667046,-8.622334,0
280,Cinema280,,Rinn,Regal,Cinema,14-Nov-25,1925,02/10/1934,Dublin,Dublin,"23 Fitzwilliam Street, Ringsend","Dublin, Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,"Rocketts 419 (opening/closing dates, address)",,53.342305,-6.227116,0
281,Cinema281,,Inchicore Cinema,,Cinema,25-Nov-21,1921,,Dublin,Dublin,"29-35 Tyrconnell Road, Inchicore","Dublin, Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,EH 26/11/1921 (opening ad); KLW 01/12/1921 (opening date),,53.338708,-6.321706,0
282,Cinema282,,Rossleigh Picture House,,Cinema,03-Sep-20,1920,,Antrim,Carrickfergus,Irish Quarter South,"Carrickfergus, Antrim","Carrickfergus Theatre Ltd (R. Lee, Mrs M. McNeilly, Mrs E. McConnell)",R. Lee,,,,,,,"Proprieter: Carrickfergus Theatre Ltd (R. Lee, Mrs M. McNeilly, Mrs E. McConnell)Manager: R. LeeMusical Director: ","KlW 30/09/1920 (company registered); BNL 10/07/1923 (name, street, fire)",,,,0
283,Cinema283,,Arcadia Picture Palace,,Cinema,22-Jul-23,1923,,Mayo,Ballina,Arran Street,"Ballina, Mayo",Thomas Ryan,,,,,,,,Proprieter: Thomas RyanManager: Musical Director: ,WeP 28/07/1923 (opening),,54.113642,-9.155659,0
284,Cinema284,,"Cinema, Listowel",,Cinema,,1899,,Kerry,Listowel,Church Street,"Listowel, Kerry",,,,,,,,,Proprieter: Manager: Musical Director: ,"LK 12/08/1920 (Hannon, licence); CE 23/08/1920 (survey); II 20/08/1923 (fined)",,52.447028,-9.483247,0
285,Cinema285,,Charles & Mann Cinema,,Cinema,02-Mar-18,1918,,Kerry,Listowel,Upper Church Street,"Listowel, Kerry",Messrs Mann and Charles,,,,,,,,Proprieter: Messrs Mann and CharlesManager: Musical Director: ,"KM 16/02/1918 (Charles & Mann), LK 23/02/1918 (Charles & Mann)",Opening date approximate based on newspaper reports,52.447703,-9.481554,0
286,Cinema286,,Market Cinema Hall,,Cinema,23-Aug-20,1920,,Kerry,Listowel,Market Street,"Listowel, Kerry",Matthew Hannon,,Maurice O'Connor,,,,,,Proprieter: Matthew HannonManager: Musical Director: ,"LK 12/08/1920 (Hannon, licence); CE 23/08/1920 (survey); II 20/08/1923 (fined); LK 06/11/1923 (fire, O'Connor)",Opening date approximate based on article on council surveyor's report on building,,,0
287,Cinema287,,Classic Cinema,Gaumont,Cinema,24-Dec-23,1923,,Antrim,Belfast,Castle Lane,"Belfast, Antrim","Classic Cinemas (W.K. Gibson, H. Smylie, Crawford McCullagh, S. Donald Cheyne)",Noel Hobart,J.H. Maudsley (engineer),T.S. Clarke-Browne,,,1600,,"Proprieter: Classic Cinemas (W.K. Gibson, H. Smylie, Crawford McCullagh, S. Donald Cheyne)Manager: Noel HobartMusical Director: T.S. Clarke-Browne","BT 18/12/1923 (seats, company, building, Maudsley); BNL 24/12/1923 (Hobart)",,54.598684,-5.929044,0
288,Cinema288,,New Theatre and Picture House,,Multipurpose venue,16-Mar-24,1924,,Tipperary,Thurles,Slievenamon Road,"Thurles, Tipperary",,,,,,,,,Proprieter: Manager: Musical Director: ,"TS 08/03/1924 (ad), 15/03/1924 (ad)",,52.676975,-7.812336,1
289,Cinema289,,Star Electric Pictures,Young Men's Society Hall,Multipurpose venue,16-Dec-15,1915,,Offaly,Birr,,"Birr, Offaly",,Billy Grant,,,,,,,Proprieter: Manager: Billy GrantMusical Director: ,"LR 11/12/1915 (ad, opening, Grant)",May have been temporary for Christmas 1915,,,0
290,Cinema290,,Cinema Hall,,Multipurpose venue,15-Apr-23,1923,,Clare,Killaloe,,"Killaloe, Clare",Joseph McKeogh,,,,,,,,Proprieter: Joseph McKeoghManager: Musical Director: ,"NG 14/04/1923 (ad, McKeogh), 05/05/1923 (good audiences)",Sunday shows only in 1923,,,0
